day,brief no.,date,new cases,confirmed total cases,new deaths,total deaths,new recoveries,total recoveries,Active cases,Daily tests,total tests,kenya,foreigners,male,total male,female,total female,nairobi,nairobi total,mombasa,mombasa total,kilifi,kilifi total,kwale,kwale total,kajiado,kajiado total,kitui,kitui total,kiambu,kiambu total,kakamega,kakamega total,kisii,kisii total,mandera,mandera total,siaya,siaya total,nakuru,nakuru total,homa bay,homa bay total,uasin gishu,uasin gishu total,wajir,wajir total,migori,migori total,bungoma,bungoma total,busia,busia total,isiolo,isiolo total,machakos,machakos total,bomet,bomet total,T.Taveta,T.Taveta total,Garissa,Garissa total,Meru,Meru total,makueni,makueni total,kirinyaga,kirinyaga total,Trans nzoia,Trans nzoia total,Turkana,Turkana total,kisumu,kisumu total,nyeri,nyeri total,embu,embu total,muranga,muranga total,kericho,kericho total,Laikipi,Laikipia total,E.Marakwet,E.Marakwet total,Marsabit,Marsabit total,Narok,Narok total,Vihiga,Vihiga total,Nandi,Nandi total,Nyamira,Nyamira total,Lamu,Lamu total
47,41,28-04-20,11,374,0,14,10,124,235,589,18983,,,,,,,,241,,97,,9,1total,,3total,,2total,,5total,,1total,,,,8total,,2total,,2total,,1total,,1total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,42,29-04-20,10,384,1,15,5,129,235,508,19491,,,6,,4,,1new,242,9new,106,,9,2total,,3total,,2total,,5total,,1total,,,,8total,,2total,,2total,,1total,,1total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,43,30-04-20,12,396,2,17,15,144,235,777,20268,,,9,,3,,3new,245,7new,,,,,,,,1new,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,44,01-05-20,15,411,4,21,6,150,240,1434,21702,,,7,230,8,181,4new,249,11new,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,45,02-05-20,24,435,1,22,2,152,261,1195,22897,,,10,,14,,17new,,5new,,,,,,,,,,,,,,,,,,,,,,,,,,,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,46,03-05-20,30,465,2,24,15,167,274,883,23780,,,23,,7,,8new,,19new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,47,04-05-20,25,490,0,24,6,173,293,1012,24792,,,13,,12,,15new,,10new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,48,05-05-20,45,535,0,24,9,182,329,1077,25869,,,30,,15,,29new,,11new,,,,,,,,,,,,,,,,,,,,,,,,,,5new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,49,06-05-20,47,582,2,26,8,190,366,1564,27433,,,31,337,16,245,11new,329,32new,201,,8,1new,3,,3,,4,1new,6,,1,,,,8,,2,,2,,1,,1,,7,,2,,2,2new,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,50,07-05-20,25,607,3,29,7,197,381,1075,28508,22,3,21,358,4,249,17new,346,1new,202,,,,,2new,5,,,,,,,,,,,,,1new,3,,,,,2new,9,1new,3,,,,,1new,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,51,08-05-20,14,621,0,29,5,202,390,922,29430,14,0,9,367,5,254,10new,356,3new,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1new,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,52,09-05-20,28,649,1,30,5,207,412,1611,31041,24,4,17,384,11,265,9new,365,10new,215,,,,,2new,7,,,1new,7,,,,,,,,,,,1new,2,,,,,4new,7,,,,,,,1new,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,53,10-05-20,23,672,2,32,32,239,401,1056,32097,22,1,13,397,10,275,4new,369,12new,227,,,,,1new,8,,,,,,,,,6new,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,54,11-05-20,28,700,1,33,12,251,416,841,32938,,,,,,,7new,376,10new,237,,,,,9new,17,,,,,,,,,,,,,,,,,,,2new,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,55,12-05-20,15,715,3,36,8,259,420,978,33916,14,1,10,,5,,1new,377,7new,244,,,,,,,,,1new,8,,,,,,,,,,,,,,,2new,13,3new,10,,,,,,,1new,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,56,13-05-20,22,737,4,40,22,281,416,1516,35432,21,1,17,,5,,10new,387,8new,252,,,,,3new,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1new,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,57,14-05-20,21,758,2,42,3,284,432,1486,36918,21,0,14,,7,,4new,391,12new,264,,,,,4new,24,,,,,,,,,,,,,,,,,1new,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,58,15-05-20,23,781,3,45,0,284,452,2100,39018,,,18,,5,,11new,402,5new,269,,8,,3,3new,27,,4,2new,10,,1,,,,,,,,,,,,2,2new,15,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,59,16-05-20,49,830,5,50,17,301,479,2496,41514,,,,,,,,,,,,,,,17new,,,,,,,,,,,,,,,,,,,,14new,29,10new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,60,17-05-20,57,887,0,50,12,313,524,2198,43712,,,34,,23,,17new,,35new,,,,1new,,3new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,61,18-05-20,25,912,0,50,22,336,526,1139,44851,23,2,23,,2,,3new,,5new,,,,3new,,6new,,,,3new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2new,,2new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,62,19-05-20,51,963,0,50,22,358,555,1933,46784,,,32,,19,,,470,,331,,10,,7,,43,,5,,17,,,,,,18,,2,,4,,2,,4,,16,,14,,2,,4,,1,,3,,1,,5,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
